SampleIndex,GridRow,GridI,GridJ,GridK,Label,Temperature_C,t,x,y,W25,W_T,DeltaW_Exact,SegmentIndex,SegmentName,SampleWeight,DeltaW_Pred,DeltaW_Error,AbsDeltaW_Error,W_Corrected,W_ErrorBeforeCorrection,AbsW_ErrorBeforeCorrection,W_ErrorAfterCorrection,AbsW_ErrorAfterCorrection
1,2,0,1,42,T45,43,0.274809160305344,0.151748837209302,0.0441790697674419,1.75458134332322e-15,0,-1.75458134332322e-15,1,LOW,1.00000000000011,0.00123797937387462,0.00123797937387638,0.00123797937387638,0.00123797937387638,1.75458134332322e-15,1.75458134332322e-15,0.00123797937387638,0.00123797937387638
2,3,0,2,41,T45,43,0.274809160305344,0.151397674418605,0.0599581395348837,0,0,0,1,LOW,1,0.000779992969524292,0.000779992969524292,0.000779992969524292,0.000779992969524292,0,0,0.000779992969524292,0.000779992969524292
3,4,0,3,40,T45,43,0.274809160305344,0.151046511627907,0.0757372093023256,0,0,0,1,LOW,1,0.000349062619850003,0.000349062619850003,0.000349062619850003,0.000349062619850003,0,0,0.000349062619850003,0.000349062619850003
4,5,0,4,39,T45,43,0.274809160305344,0.150695348837209,0.0915162790697674,0,0,0,1,LOW,1,-5.48116751482113e-05,-5.48116751482113e-05,5.48116751482113e-05,0,0,0,0,0
5,6,0,5,38,T45,43,0.274809160305344,0.150344186046512,0.107295348837209,0,0,7.22452300303687e-16,1,LOW,1.00000000000004,-0.000431629915470267,-0.00043162991547099,0.00043162991547099,0,0,0,0,0
6,46,1,1,41,T45,43,0.274809160305344,0.164548837209302,0.0504186046511628,0,0,0,1,LOW,1,0.00217663118168785,0.00217663118168785,0.00217663118168785,0.00217663118168785,0,0,0.00217663118168785,0.00217663118168785
7,47,1,2,40,T45,43,0.274809160305344,0.164197674418605,0.0661976744186046,0,0,0,1,LOW,1,0.0016966768690573,0.0016966768690573,0.0016966768690573,0.0016966768690573,0,0,0.0016966768690573,0.0016966768690573
8,48,1,3,39,T45,43,0.274809160305344,0.163846511627907,0.0819767441860465,0,0,0,1,LOW,1,0.00124377861110273,0.00124377861110273,0.00124377861110273,0.00124377861110273,0,0,0.00124377861110273,0.00124377861110273
9,49,1,4,38,T45,43,0.274809160305344,0.163495348837209,0.0977558139534884,0,0,0,1,LOW,1,0.00081793640782424,0.00081793640782424,0.00081793640782424,0.00081793640782424,0,0,0.00081793640782424,0.00081793640782424
10,50,1,5,37,T45,43,0.274809160305344,0.163144186046512,0.11353488372093,0,0,0,1,LOW,1,0.000419150259221904,0.000419150259221904,0.000419150259221904,0.000419150259221904,0,0,0.000419150259221904,0.000419150259221904
11,51,1,6,36,T45,43,0.274809160305344,0.162793023255814,0.129313953488372,0,0,0,1,LOW,1,4.74201652955501e-05,4.74201652955501e-05,4.74201652955501e-05,4.74201652955501e-05,0,0,4.74201652955501e-05,4.74201652955501e-05
12,52,1,7,35,T45,43,0.274809160305344,0.162441860465116,0.145093023255814,0,0,0,1,LOW,1,-0.000297253873954727,-0.000297253873954727,0.000297253873954727,0,0,0,0,0
13,53,1,8,34,T45,43,0.274809160305344,0.162090697674419,0.160872093023256,0,0,0,1,LOW,1,-0.000614871858528864,-0.000614871858528864,0.000614871858528864,0,0,0,0,0
14,54,1,9,33,T45,43,0.274809160305344,0.161739534883721,0.176651162790698,0,0,0,1,LOW,1,-0.000905433788426993,-0.000905433788426993,0.000905433788426993,0,0,0,0,0
15,55,1,10,32,T45,43,0.274809160305344,0.161388372093023,0.19243023255814,0,0,0,1,LOW,1,-0.00116893966364905,-0.00116893966364905,0.00116893966364905,0,0,0,0,0
16,56,1,11,31,T45,43,0.274809160305344,0.161037209302326,0.208209302325581,0,0,0,1,LOW,1,-0.00140538948419496,-0.00140538948419496,0.00140538948419496,0,0,0,0,0
17,57,1,12,30,T45,43,0.274809160305344,0.160686046511628,0.223988372093023,0,0,0,1,LOW,1,-0.00161478325006487,-0.00161478325006487,0.00161478325006487,0,0,0,0,0
18,58,1,13,29,T45,43,0.274809160305344,0.16033488372093,0.239767441860465,0,0,0,1,LOW,1,-0.00179712096125871,-0.00179712096125871,0.00179712096125871,0,0,0,0,0
19,59,1,14,28,T45,43,0.274809160305344,0.159983720930233,0.255546511627907,0,0,0,1,LOW,1,-0.00195240261777643,-0.00195240261777643,0.00195240261777643,0,0,0,0,0
20,60,1,15,27,T45,43,0.274809160305344,0.159632558139535,0.271325581395349,0,0,0,1,LOW,1,-0.00208062821961812,-0.00208062821961812,0.00208062821961812,0,0,0,0,0
21,61,1,16,26,T45,43,0.274809160305344,0.159281395348837,0.287104651162791,0,0,0,1,LOW,1,-0.00218179776678374,-0.00218179776678374,0.00218179776678374,0,0,0,0,0
22,62,1,17,25,T45,43,0.274809160305344,0.15893023255814,0.302883720930233,0,0,0,1,LOW,1,-0.00225591125927324,-0.00225591125927324,0.00225591125927324,0,0,0,0,0
23,63,1,18,24,T45,43,0.274809160305344,0.158579069767442,0.318662790697674,0,0,0,1,LOW,1,-0.00230296869708672,-0.00230296869708672,0.00230296869708672,0,0,0,0,0
24,64,1,19,23,T45,43,0.274809160305344,0.158227906976744,0.334441860465116,0,0,0,1,LOW,1,-0.00232297008022411,-0.00232297008022411,0.00232297008022411,0,0,0,0,0
25,65,1,20,22,T45,43,0.274809160305344,0.157876744186047,0.350220930232558,0,0,0,1,LOW,1,-0.0023159154086854,-0.0023159154086854,0.0023159154086854,0,0,0,0,0
26,66,1,21,21,T45,43,0.274809160305344,0.157525581395349,0.366,0,0,0,1,LOW,1,-0.00228180468247066,-0.00228180468247066,0.00228180468247066,0,0,0,0,0
27,67,1,22,20,T45,43,0.274809160305344,0.157174418604651,0.381779069767442,0,0,0,1,LOW,1,-0.00222063790157984,-0.00222063790157984,0.00222063790157984,0,0,0,0,0
